#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1691,"West End Girls - 2018 Remaster","Pet Shop Boys",73,113,"dance rock, new romantic, new wave, new wave pop, permanent wave, synthpop","Rock, Pop","Please: Further Listening 1984 - 1986 (2018 Remaster)",1986-03-24,04:45,66,91,0,6,58,0,10,-7,E Minor,4,2023-12-26,2Di0qFNb7ATroCGB3q0Ka7,"Rhino",9A,https://p.scdn.co/mp3-preview/cbbe144dceea12069b3f5a3dbc35bb3801a1c218?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513540f5cb8e1e7a54125f84db
1692,"AVOID ME","KUTE",74,114,"aggressive phonk, drift phonk, gym phonk","Electronic, Pop","AVOID ME",2022-02-11,01:45,66,96,12,81,97,10,70,-2,F#/G♭ Minor,4,2023-12-26,5FX30idriKlEIRYTxpNf65,"KUTE",11A,https://p.scdn.co/mp3-preview/056f207b9d4da50f011ddfbb1230254fc6118e3e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e9cdae5920ca19b2b6dd6daf
1693,"KILLA!","SHADXWBXRN",47,198,"drift phonk, gym phonk","Electronic, Pop","KILLA!",2022-08-26,01:46,51,100,0,75,12,0,10,0,D Major,4,2023-12-26,16uh5QAnJ6ixHHSIa1I3Vt,"SHADXWBXRN",10B,https://p.scdn.co/mp3-preview/5ff47f67a9053d5ae7ef1bb9f128024650b2a59f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b04733ef3f3aac7b2a841df7
1694,"GTG","Freddie Dredd",73,155,"aesthetic rap, meme rap, phonk","Hip Hop","GTG",2018-08-10,01:33,88,78,16,2,97,10,10,-7,G Minor,4,2023-12-26,46M2hXnaQpueG7vSvgVtVH,"Doomshop Records/RCA Records",6A,https://p.scdn.co/mp3-preview/011e616bcc42a5588315db37d13bec6bfa414484?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f67a8d19b2c7130f0437887b
1695,"Phonky Tribu","Funk Tribu",0,160,"","","The Midnight Club GT",2021-10-21,04:46,73,87,0,85,67,0,10,-8,B Minor,4,2023-12-26,0uo7p6JtXF7U8x0ktN0Vty,"SpeedMaster Records",10A,,https://i.scdn.co/image/ab67616d00004851e2825adb7ff73e872fb61be0
1696,"GO!","MoonDeity",60,118,"","","GO!",2022-04-08,02:30,71,91,49,2,57,0,70,-3,G Major,4,2023-12-26,3Fmzn4AgdZ0owwgmomtY9l,"MoonDeity",9B,https://p.scdn.co/mp3-preview/e82d6396aec9b5253e962d9ad5525c749abbfe86?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b5596c61e817cc2ce1ff5ea
1697,"SLAUGHTER HOUSE","Phonkha,zecki",65,115,"gym phonk","Pop","SLAUGHTER HOUSE",2022-07-29,02:31,81,50,0,2,70,30,70,-7,G Major,4,2023-12-26,512GmOfa7bOg5IJcrVHMdy,"Phonkha",9B,https://p.scdn.co/mp3-preview/16bb9bc4ff0958856a7ab271616bbf73af7ad133?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851abd577bb714160732559fda2
1698,"MISA MISA!","CORPSE,Scarlxrd,Kordhell",1,95,"pov: indie, dark trap, scream rap, drift phonk","Hip Hop, Electronic, Pop","MISA MISA!",2022-08-26,01:25,67,98,3,0,69,10,60,-1,C♯/D♭ Major,4,2023-12-26,3bpR5jv8uzraDgq5YpHwDw,"CORPSE",3B,,https://i.scdn.co/image/ab67616d00004851199ae30308a28332ce6c8dde
1699,"RAMPAGE","X-WAYNE,SH3TLVIZ",0,115,"aggressive phonk","","RAMPAGE",2022-07-01,02:31,86,75,3,86,56,30,30,-3,C♯/D♭ Major,4,2023-12-26,0Lc8YJO7LoZdVpJM07GNjK,"X-WAYNE x SH3TLVIZ",3B,,https://i.scdn.co/image/ab67616d00004851757bf5168cbd65d4975b5945
1700,"seaside","Øneheart,Tokyomane",45,122,"hardwave, drift phonk","Electronic","seaside",2022-07-22,02:39,75,88,3,4,11,10,10,-7,A Minor,4,2023-12-26,3Cj5VVbQnLRknyj2NriPJu,"Tokyomane",8A,https://p.scdn.co/mp3-preview/9ec6a0274eeedf60cb3e80adab9031276de60146?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a99e9d3a3472e6ca76371b2
1701,"PRINCE OF DARKNESS","SHADXWBXRN,ARCHEZ,KXNVRA",72,124,"drift phonk, gym phonk","Electronic, Pop","PRINCE OF DARKNESS",2022-01-14,02:03,69,93,15,84,49,0,10,-5,G#/A♭ Major,4,2023-12-26,3F8ydJz1se1vIxZTRcRjIJ,"SHADXWBXRN x ARCHEZ x KXNVRA",4B,https://p.scdn.co/mp3-preview/9d48e8d0eb2283efe46a2096ba0f21bd2f111ed6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d77c40422d515c06fb2972e9
1702,"Desolation 2","CREEPYMANE",44,145,"drift phonk","Electronic","Desolation 2",2022-09-16,01:32,53,98,4,1,28,30,10,-5,A#/B♭ Minor,4,2023-12-26,5YQV3dcbq48zCmofyOSzcJ,"NEDOSTUPNOSTb",3A,https://p.scdn.co/mp3-preview/e6ad0332b2a0e881ccb892039892bc7bdc3b4fd8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516ff1a73427189e3a7ba212da
1703,"BROKEN SPIRIT","MUPP,$werve",46,122,"drift phonk, hyperpop, aggressive phonk, gym phonk","Electronic, Pop","BROKEN SPIRIT",2022-06-17,02:01,68,83,30,64,20,0,10,-5,C♯/D♭ Minor,4,2023-12-26,1UFfpcghvBAHfKwXFG1rr5,"MUPP x $werve",12A,https://p.scdn.co/mp3-preview/b27e44d785e3fbecea0f64f3e463491f24ec0f3d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485135be0b5e76a5d96e9ef792e2
1704,"BRAINSHOT","Pharmacist",40,120,"drift phonk","Electronic","BRAINSHOT",2022-07-22,03:20,51,92,0,53,25,0,0,-2,G#/A♭ Minor,4,2023-12-26,6nek5FDzB20pQGfa6uaftr,"Pharmacist",1A,https://p.scdn.co/mp3-preview/d153c5b1e4c9693b1bb6e45a8cca86de5189d903?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851992404e66a829465c237f30e
1705,"SUNRISE (Slowed + Reverb)","Xantesha",74,120,"gym phonk, phonk brasileiro","Pop","SUNRISE (Slowed + Reverb)",2022-06-10,02:18,74,93,6,83,26,0,20,-8,A#/B♭ Major,4,2023-12-26,0G17UriYHMjXnZE2OJJSMR,"Xantesha",6B,https://p.scdn.co/mp3-preview/1227f618abefffc423a2e76cab00af8a20203e1e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851747e65c4c7def3b336bb2205
1706,"Hot Wheels","Kaito Shoma",40,135,"drift phonk","Electronic","Hot Wheels",2022-09-16,02:40,74,95,5,0,53,30,50,1,F#/G♭ Minor,4,2023-12-26,48CEuCTGBn3ynSGVx2hmEz,"Kaito Shoma",11A,https://p.scdn.co/mp3-preview/cbba1c75a8cae107d607af80337a17ef46973b50?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485135b145ed00d3d39509eb587b
1707,"Crystals","Isolate.exe",76,100,"","","Crystals",2022-01-28,02:19,69,73,44,66,13,0,0,-10,B Major,4,2023-12-26,2BH3j05ZXWr5PR30sW079d,"Isolate.exe",1B,https://p.scdn.co/mp3-preview/e9698863959472e8ba296a9e55d28ee754541efa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197ec3691a89dfb9e05792a0b
1708,"Hide N Seek","FindMyName",44,110,"gym phonk","Pop","Hide N Seek",2022-08-12,02:48,79,81,6,86,49,0,50,-7,G Major,4,2023-12-26,5Ohu6Vnu0efFmI52Ti1dYb,"FindMyName",9B,https://p.scdn.co/mp3-preview/2d5f2429f4bd70df604e4c319e8af64b5cc5f3a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e7bc091431af90e7eb020f2b
1709,"Why Not","Ghostface Playa",74,120,"drift phonk","Electronic","Why Not",2022-04-01,02:45,73,98,0,90,93,0,30,-2,A Major,4,2023-12-26,4oMyggIzClkOcCTvotFLkP,"Ghostface Playa",11B,https://p.scdn.co/mp3-preview/0490a27d6d38ce6981915e9272f996cf4da57f3b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167e4046891a0207cd9e27574
1710,"COWBELL WARRIOR!","SXMPRA",2,167,"drift phonk","Electronic","COWBELL WARRIOR!",2021-12-08,02:29,75,80,3,0,71,30,40,-6,D Major,4,2023-12-26,5YVNmwohNrDoo4f8EQ5htK,"HERE FOREVER",10B,,https://i.scdn.co/image/ab67616d0000485129b6bef6e16f5fa771be9d69
1711,"RAGNAROK","Chi X,SLOWYMANE",56,126,"gym phonk","Pop","RAGNAROK",2022-07-21,03:15,74,60,0,93,40,10,90,-5,B Minor,4,2023-12-26,1sWb35nydLCjD71JGURDEv,"ALT:Vision Records",10A,https://p.scdn.co/mp3-preview/500e512c3597c9a956a094556adb070f9f1381da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edb178ace0d8ddade2099db8
