#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
231,"Five Magics - 2004 Remix","Megadeth",51,175,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Rust In Peace (2004 Remix / Expanded Edition)",1990-10-04,05:39,26,96,0,6,20,10,20,-5,A Minor,4,2024-01-05,3tISv448Ikxvpq2ZrFyGG2,"Capitol Records",8A,,https://i.scdn.co/image/ab67616d00004851be9fa5a89479b6af481938a0
232,"Alley Oop","Yung Gravy,Lil Baby",50,122,"meme rap, minnesota hip hop, atl hip hop, atl trap, rap, trap","Hip Hop","Sensational",2019-05-31,02:32,86,50,27,0,87,20,0,-8,F#/G♭ Major,4,2024-01-05,38nyi6J4H44dXpf0PE3bWE,"Republic Records",2B,,https://i.scdn.co/image/ab67616d0000485115353ebee04814bb8153aa74
233,"i see london i see france","bbno$",49,117,"canadian hip hop, dark trap, meme rap","Hip Hop","i see london i see france",2022-10-12,02:32,83,72,1,1,87,0,30,-6,A#/B♭ Minor,4,2024-01-05,4wwoTaV7tQmGTshV7aYjBD,"bbno$",3A,https://p.scdn.co/mp3-preview/0f49d8cfc502f5c365952864923fef8b55d2a3d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851184a549fc4e4d570ec04fbc0
234,"Almost Honest - Remastered 2004 / Remixed","Megadeth",46,134,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Cryptic Writings (Expanded Edition - Remastered)",1997-06-17,04:08,52,94,0,0,59,0,30,-5,A Major,4,2024-01-05,2uw3kbepHeeeLTykdUeOtI,"Capitol Records",11B,,https://i.scdn.co/image/ab67616d0000485176eff96fd2e3f9df3e71b276
235,"Duality","Slipknot",81,144,"alternative metal, nu metal, rap metal, rock","Metal, Rock","Vol. 3: The Subliminal Verses",2004-00-00,04:12,35,98,0,0,19,10,20,-3,E Minor,4,2024-01-05,61mWefnWQOLf90gepjOCb3,"Roadrunner Records",9A,https://p.scdn.co/mp3-preview/c46be58f34877ead8678a37da8f19f2b838b0409?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b3463e7160d333ada4b175a
236,"Gimme Love","Joji",60,127,"viral pop","Pop","Gimme Love",2020-04-16,03:34,48,63,70,2,7,10,20,-7,F Major,3,2024-01-05,2hfoyc7ve6xM4ZEiNIiU1B,"88rising Music/Warner Records",7B,https://p.scdn.co/mp3-preview/9f01df4471f9ffc75c5f32ebcc759c721c32a249?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b6d007e03bcf0712d7735bd7
237,"不義遊戯","照井順政",37,167,"","","TVアニメ『呪術廻戦』オリジナル・サウンドトラック",2021-04-21,03:16,44,85,0,87,22,0,10,-7,C Major,4,2024-01-05,5g3zq0rh4CiykkZlomFB5r,"TOHO animation RECORDS",8B,https://p.scdn.co/mp3-preview/61f50766838d46ca465b5a9ce764ffc988ad1bb9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519230f7c8dfff664d6ac2ad0b
238,"Pretty When You Cry","Lana Del Rey",79,109,"art pop, pop","Pop","Ultraviolence (Deluxe)",2014-01-01,03:54,51,55,40,0,20,0,20,-7,A#/B♭ Minor,4,2024-01-05,6PnluwP0fjGnpIBsqTdUTq,"Polydor Records",3A,,https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f
239,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",85,124,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, uk pop","Pop, Electronic","One Kiss (with Dua Lipa)",2018-04-06,03:34,79,86,4,0,59,10,0,-3,A Minor,4,2024-01-05,7ef4DlsgrMEH11cDZd32M6,"Sony Music UK",8A,https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d09f96d82310d4d77c14c108
240,"Never Fade Away (SAMURAI Cover)","P.T. Adamczyk,Olga Jankowska",59,112,"video game music, ","Classical","Cyberpunk 2077 - Original Score",2020-12-11,04:46,64,47,34,2,8,0,10,-11,E Minor,4,2024-01-05,6pV1lc8lIc8ARNB6KsZukt,"CD PROJEKT RED",9A,https://p.scdn.co/mp3-preview/78932b31ddae77952e9b09789479cadd64d33b85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca593ba6b61b7a164ae408b9
241,"Living Life, In The Night","Cheriimoya,Sierra Kidd",77,143,"sad lo-fi, german cloud rap, german hip hop","Hip Hop, Electronic","Living Life, In The Night",2018-10-13,02:02,62,50,82,0,30,0,10,-10,C Minor,4,2024-01-05,2kx5sQgmjYug0GiDh1a4sU,"Arista Records",5A,https://p.scdn.co/mp3-preview/40e3a269beda613bf8f19d7970007b8f548198fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cbb98a272f05e3bbcd08fe7d
242,"thankful","bbno$,Y2K,Lewis Grant",42,135,"canadian hip hop, dark trap, meme rap, pop rap, viral rap, hyperpop","Hip Hop, Pop","recess",2019-01-25,02:54,76,44,80,0,60,0,10,-8,G#/A♭ Major,4,2024-01-05,1hJZvoGEYJAggWTWSPEzVu,"no records",4B,https://p.scdn.co/mp3-preview/d376419db363344c5fa6bfb79636daf07c99c3f6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
243,"Okyanus","Adamlar",50,83,"turkish rock","Rock","Harekete kimse mâni olamaz. Part II",2023-01-20,03:58,70,48,68,3,53,0,10,-10,A#/B♭ Minor,4,2024-01-05,5efawXtIRapXjiIH2WncJ1,"Adamlar",3A,https://p.scdn.co/mp3-preview/a50acc591b312451c5adba42f2cb6ca6f164ad6d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514596650bfee43f3ff7dbfc30
244,"gone girl","iann dior,Trippie Redd",27,95,"melodic rap, rap, trap","Hip Hop","gone girl",2019-07-04,02:16,68,71,16,0,36,0,0,-6,B Major,4,2024-01-05,6G0FACzGN80Dj2v4ass5rq,"TenThousand Projects, LLC",1B,,https://i.scdn.co/image/ab67616d000048510e7473d3cf33aadd9790a06e
245,"Art Deco","Lana Del Rey",79,148,"art pop, pop","Pop","Honeymoon",2015-09-18,04:55,28,46,54,22,6,0,10,-11,B Minor,5,2024-01-05,5jqNQZBwbZWQXPWfo0ygZF,"Polydor Records",10A,,https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a
246,"Kazılı Kuyum","Yüzyüzeyken Konuşuruz",65,90,"turkish alternative rock, turkish rock","Rock","Kazılı Kuyum",2020-01-10,03:28,62,65,26,0,88,0,0,-9,B Minor,4,2024-01-05,5DJEXxOutnFD5GEUVk88yE,"SONY MUSIC TURKEY",10A,https://p.scdn.co/mp3-preview/d75fc437164327d45b59cfb5084766526e74f3bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ee7eb2120cc1d3209b255b5d
247,"Addicted To Chaos - Remastered 2004","Megadeth",51,97,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Youthanasia (Expanded Edition - Remastered)",1994-10-28,05:27,56,86,0,0,43,0,0,-5,C♯/D♭ Major,4,2024-01-05,4Ka1hOiCQw1a5RVyzW4Xu1,"Capitol Records",3B,,https://i.scdn.co/image/ab67616d000048513171798d5cfc745f0ba24c84
248,"Fatal Illusion","Megadeth",45,124,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Dystopia",2016-01-22,04:15,34,98,0,0,13,30,20,-4,A Minor,4,2024-01-05,7IVhAkmr7xdgRZYc1Thrna,"AG Records (Megadeth) 2017",8A,,https://i.scdn.co/image/ab67616d00004851db38819ff1e73809f8be6107
249,"Life Is Good (feat. Drake)","Future,Drake",76,142,"atl hip hop, hip hop, rap, southern hip hop, trap, canadian hip hop, canadian pop, pop rap","Hip Hop, Pop","Life Is Good (feat. Drake)",2020-01-10,03:57,68,61,7,0,51,40,10,-6,D Minor,4,2024-01-05,5yY9lUy8nbvjM1Uyo1Uqoc,"Epic/Freebandz",7A,https://p.scdn.co/mp3-preview/f7e8ac5cc4f6b702718ac3e2e280e270ac16facc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a01c7b77a34378a62f46402
